#GRUPO: IGNACIO FERNÁNDEZ SÁNCHEZ-PASCUALA | FERMÍN GONZÁLEZ PEREIRO | JAVIER CASTELLANO SORIA
#T.H (temperatura en los hombres), T.M (temperatura en las mujeres), P.H (pulsaciones de los hombres), P.M (pulsaciones de las mujeres)

T.H	T.M	P.H	P.M
96.2	96.7	58	56
96.4	96.9	63	59
96.5	97.1	64	60
96.7	97.2	64	62
96.8	97.2	64	62
96.9	97.4	65	63
97.0	97.6	66	63
97.1	97.7	66	64
97.1	97.7	67	65
97.2	97.8	67	65
97.2	97.8	68	65
97.3	97.9	68	66
97.4	97.9	68	67
97.4	97.9	69	67
97.4	98.0	69	68
97.5	98.0	70	68
97.5	98.0	70	69
97.5	98.1	70	69
97.5	98.1	70	69
97.5	98.2	70	70
97.6	98.2	70	70
97.6	98.2	71	71
97.6	98.2	71	72
97.7	98.2	71	73
97.7	98.3	71	73
97.8	98.3	71	73
97.8	98.3	72	73
97.8	98.3	72	74
97.8	98.4	72	74
97.9	98.4	72	74
97.9	98.4	73	75
97.9	98.5	73	76
97.9	98.5	73	77
97.9	98.5	73	77
98.0	98.5	73	78
98.0	98.6	74	78
98.0	98.6	74	78
98.0	98.7	74	78
98.1	98.7	74	78
98.2	98.7	75	78
98.2	98.7	75	78
98.2	98.8	75	79
98.2	98.8	75	79
98.2	98.8	76	79
98.3	98.8	77	80
98.3	98.8	77	80
98.3	98.8	78	80
98.4	98.9	78	80
98.4	98.9	78	80
98.4	98.9	78	81
98.4	98.9	78	81
98.5	99.0	78	81
98.5	99.0	78	81
98.5	99.0	79	82
98.5	99.0	80	82
98.6	99.1	80	83
98.6	99.1	81	83
98.7	99.1	81	84
98.7	99.2	82	84
98.8	99.2	82	84
98.8	99.3	82	85
98.9	99.4	83	86
98.9	99.9	83	87
99.0	100.0	84	90
99.3	100.6	86	90
